"module name","license","repository"
"@types/json-schema@7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@19.1.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-router-dom@5.3.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-router@5.1.20","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@19.1.16","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yup@0.29.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@typescript-eslint/eslint-plugin@8.45.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/parser@8.45.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/project-service@8.45.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/scope-manager@8.45.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/tsconfig-utils@8.45.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/type-utils@8.45.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/types@8.45.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/typescript-estree@8.45.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/utils@8.45.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/visitor-keys@8.45.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@vitejs/plugin-react@5.0.4","MIT","https://github.com/vitejs/vite-plugin-react"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"acorn-jsx@5.3.2","MIT","https://github.com/acornjs/acorn-jsx"
"acorn@8.15.0","MIT","https://github.com/acornjs/acorn"
"ajv@6.12.6","MIT","https://github.com/ajv-validator/ajv"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"autoprefixer@10.4.21","MIT","https://github.com/postcss/autoprefixer"
"babel-plugin-react-compiler@19.1.0-rc.3","MIT","https://github.com/facebook/react"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"baseline-browser-mapping@2.8.9","Apache-2.0","https://github.com/web-platform-dx/baseline-browser-mapping"
"brace-expansion@1.1.12","MIT","https://github.com/juliangruber/brace-expansion"
"brace-expansion@2.0.2","MIT","https://github.com/juliangruber/brace-expansion"
"braces@3.0.3","MIT","https://github.com/micromatch/braces"
"browserslist@4.26.2","MIT","https://github.com/browserslist/browserslist"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"caniuse-lite@1.0.30001746","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"convert-source-map@2.0.0","MIT","https://github.com/thlorenz/convert-source-map"
"cookie@1.0.2","MIT","https://github.com/jshttp/cookie"
"cross-spawn@7.0.6","MIT","https://github.com/moxystudio/node-cross-spawn"
"csstype@3.1.3","MIT","https://github.com/frenic/csstype"
"debug@3.2.7","MIT","https://github.com/visionmedia/debug"
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"debuglog@1.0.1","MIT","https://github.com/sam-github/node-debuglog"
"deep-is@0.1.4","MIT","https://github.com/thlorenz/deep-is"
"deepmerge@2.2.1","MIT","https://github.com/KyleAMathews/deepmerge"
"dezalgo@1.0.4","ISC","https://github.com/npm/dezalgo"
"electron-to-chromium@1.5.228","ISC","https://github.com/kilian/electron-to-chromium"
"esbuild@0.25.10","MIT","https://github.com/evanw/esbuild"
"escalade@3.2.0","MIT","https://github.com/lukeed/escalade"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"eslint-plugin-react-hooks@5.2.0","MIT","https://github.com/facebook/react"
"eslint-plugin-react-refresh@0.4.22","MIT","https://github.com/ArnaudBarre/eslint-plugin-react-refresh"
"eslint-scope@8.4.0","BSD-2-Clause","https://github.com/eslint/js"
"eslint-visitor-keys@3.4.3","Apache-2.0","https://github.com/eslint/eslint-visitor-keys"
"eslint-visitor-keys@4.2.1","Apache-2.0","https://github.com/eslint/js"
"eslint@9.36.0","MIT","https://github.com/eslint/eslint"
"espree@10.4.0","BSD-2-Clause","https://github.com/eslint/js"
"esquery@1.6.0","BSD-3-Clause","https://github.com/estools/esquery"
"esrecurse@4.3.0","BSD-2-Clause","https://github.com/estools/esrecurse"
"estraverse@5.3.0","BSD-2-Clause","https://github.com/estools/estraverse"
"esutils@2.0.3","BSD-2-Clause","https://github.com/estools/esutils"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-glob@3.3.3","MIT","https://github.com/mrmlnc/fast-glob"
"fast-json-stable-stringify@2.1.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify"
"fast-levenshtein@2.0.6","MIT","https://github.com/hiddentao/fast-levenshtein"
"fastq@1.19.1","ISC","https://github.com/mcollina/fastq"
"fdir@6.5.0","MIT","https://github.com/thecodrr/fdir"
"file-entry-cache@8.0.0","MIT","https://github.com/jaredwray/file-entry-cache"
"fill-range@7.1.1","MIT","https://github.com/jonschlinkert/fill-range"
"find-up@5.0.0","MIT","https://github.com/sindresorhus/find-up"
"flat-cache@4.0.1","MIT","https://github.com/jaredwray/flat-cache"
"flatted@3.3.3","ISC","https://github.com/WebReflection/flatted"
"formik@2.4.6","Apache-2.0","https://github.com/jaredpalmer/formik"
"fraction.js@4.3.7","MIT","https://github.com/rawify/Fraction.js"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"gensync@1.0.0-beta.2","MIT","https://github.com/loganfsmyth/gensync"
"glob-parent@5.1.2","ISC","https://github.com/gulpjs/glob-parent"
"glob-parent@6.0.2","ISC","https://github.com/gulpjs/glob-parent"
"glob@7.2.3","ISC","https://github.com/isaacs/node-glob"
"globals@14.0.0","MIT","https://github.com/sindresorhus/globals"
"globals@16.4.0","MIT","https://github.com/sindresorhus/globals"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"graphemer@1.4.0","MIT","https://github.com/flmnt/graphemer"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"hasown@2.0.2","MIT","https://github.com/inspect-js/hasOwn"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","https://github.com/mridgway/hoist-non-react-statics"
"hosted-git-info@2.8.9","ISC","https://github.com/npm/hosted-git-info"
"husky@8.0.3","MIT","https://github.com/typicode/husky"
"ignore@5.3.2","MIT","https://github.com/kaelzhang/node-ignore"
"ignore@7.0.5","MIT","https://github.com/kaelzhang/node-ignore"
"import-fresh@3.3.1","MIT","https://github.com/sindresorhus/import-fresh"
"imurmurhash@0.1.4","MIT","https://github.com/jensyt/imurmurhash-js"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"is-core-module@2.16.1","MIT","https://github.com/inspect-js/is-core-module"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-glob@4.0.3","MIT","https://github.com/micromatch/is-glob"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"js-yaml@4.1.0","MIT","https://github.com/nodeca/js-yaml"
"jsesc@3.1.0","MIT","https://github.com/mathiasbynens/jsesc"
"json-buffer@3.0.1","MIT","https://github.com/dominictarr/json-buffer"
"json-parse-even-better-errors@2.3.1","MIT","https://github.com/npm/json-parse-even-better-errors"
"json-schema-traverse@0.4.1","MIT","https://github.com/epoberezkin/json-schema-traverse"
"json-stable-stringify-without-jsonify@1.0.1","MIT","https://github.com/samn/json-stable-stringify"
"json5@2.2.3","MIT","https://github.com/json5/json5"
"keyv@4.5.4","MIT","https://github.com/jaredwray/keyv"
"levn@0.4.1","MIT","https://github.com/gkz/levn"
"license-checker@25.0.1","BSD-3-Clause","https://github.com/davglass/license-checker"
"locate-path@6.0.0","MIT","https://github.com/sindresorhus/locate-path"
"lodash-es@4.17.21","MIT","https://github.com/lodash/lodash"
"lodash.merge@4.6.2","MIT","https://github.com/lodash/lodash"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"lru-cache@5.1.1","ISC","https://github.com/isaacs/node-lru-cache"
"merge2@1.4.1","MIT","https://github.com/teambition/merge2"
"micromatch@4.0.8","MIT","https://github.com/micromatch/micromatch"
"minimatch@3.1.2","ISC","https://github.com/isaacs/minimatch"
"minimatch@9.0.5","ISC","https://github.com/isaacs/minimatch"
"minimist@1.2.8","MIT","https://github.com/minimistjs/minimist"
"mkdirp@0.5.6","MIT","https://github.com/substack/node-mkdirp"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"my-quiz-app@0.0.0","UNLICENSED",""
"nanoid@3.3.11","MIT","https://github.com/ai/nanoid"
"natural-compare@1.4.0","MIT","https://github.com/litejs/natural-compare-lite"
"node-releases@2.0.21","MIT","https://github.com/chicoxyzzy/node-releases"
"nopt@4.0.3","ISC","https://github.com/npm/nopt"
"normalize-package-data@2.5.0","BSD-2-Clause","https://github.com/npm/normalize-package-data"
"normalize-range@0.1.2","MIT","https://github.com/jamestalmage/normalize-range"
"npm-normalize-package-bin@1.0.1","ISC","https://github.com/npm/npm-normalize-package-bin"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"optionator@0.9.4","MIT","https://github.com/gkz/optionator"
"os-homedir@1.0.2","MIT","https://github.com/sindresorhus/os-homedir"
"os-tmpdir@1.0.2","MIT","https://github.com/sindresorhus/os-tmpdir"
"osenv@0.1.5","ISC","https://github.com/npm/osenv"
"p-limit@3.1.0","MIT","https://github.com/sindresorhus/p-limit"
"p-locate@5.0.0","MIT","https://github.com/sindresorhus/p-locate"
"parent-module@1.0.1","MIT","https://github.com/sindresorhus/parent-module"
"path-exists@4.0.0","MIT","https://github.com/sindresorhus/path-exists"
"path-is-absolute@1.0.1","MIT","https://github.com/sindresorhus/path-is-absolute"
"path-key@3.1.1","MIT","https://github.com/sindresorhus/path-key"
"path-parse@1.0.7","MIT","https://github.com/jbgutierrez/path-parse"
"picocolors@1.1.1","ISC","https://github.com/alexeyraspopov/picocolors"
"picomatch@2.3.1","MIT","https://github.com/micromatch/picomatch"
"picomatch@4.0.3","MIT","https://github.com/micromatch/picomatch"
"postcss-value-parser@4.2.0","MIT","https://github.com/TrySound/postcss-value-parser"
"postcss@8.5.6","MIT","https://github.com/postcss/postcss"
"prelude-ls@1.2.1","MIT","https://github.com/gkz/prelude-ls"
"property-expr@2.0.6","MIT","https://github.com/jquense/expr"
"punycode@2.3.1","MIT","https://github.com/mathiasbynens/punycode.js"
"queue-microtask@1.2.3","MIT","https://github.com/feross/queue-microtask"
"react-dom@19.1.1","MIT","https://github.com/facebook/react"
"react-fast-compare@2.0.4","MIT","https://github.com/FormidableLabs/react-fast-compare"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-refresh@0.17.0","MIT","https://github.com/facebook/react"
"react-router-dom@7.9.4","MIT","https://github.com/remix-run/react-router"
"react-router@7.9.4","MIT","https://github.com/remix-run/react-router"
"react@19.1.1","MIT","https://github.com/facebook/react"
"read-installed@4.0.3","ISC","https://github.com/isaacs/read-installed"
"read-package-json@2.1.2","ISC","https://github.com/npm/read-package-json"
"readdir-scoped-modules@1.1.0","ISC","https://github.com/npm/readdir-scoped-modules"
"resolve-from@4.0.0","MIT","https://github.com/sindresorhus/resolve-from"
"resolve@1.22.11","MIT","https://github.com/browserify/resolve"
"reusify@1.1.0","MIT","https://github.com/mcollina/reusify"
"rollup@4.52.3","MIT","https://github.com/rollup/rollup"
"run-parallel@1.2.0","MIT","https://github.com/feross/run-parallel"
"scheduler@0.26.0","MIT","https://github.com/facebook/react"
"semver@5.7.2","ISC","https://github.com/npm/node-semver"
"semver@6.3.1","ISC","https://github.com/npm/node-semver"
"semver@7.7.2","ISC","https://github.com/npm/node-semver"
"set-cookie-parser@2.7.1","MIT","https://github.com/nfriedly/set-cookie-parser"
"shebang-command@2.0.0","MIT","https://github.com/kevva/shebang-command"
"shebang-regex@3.0.0","MIT","https://github.com/sindresorhus/shebang-regex"
"slide@1.1.6","ISC","https://github.com/isaacs/slide-flow-control"
"source-map-js@1.2.1","BSD-3-Clause","https://github.com/7rulnik/source-map-js"
"spdx-compare@1.0.0","MIT","https://github.com/kemitchell/spdx-compare.js"
"spdx-correct@3.2.0","Apache-2.0","https://github.com/jslicense/spdx-correct.js"
"spdx-exceptions@2.5.0","CC-BY-3.0","https://github.com/kemitchell/spdx-exceptions.json"
"spdx-expression-parse@3.0.1","MIT","https://github.com/jslicense/spdx-expression-parse.js"
"spdx-license-ids@3.0.22","CC0-1.0","https://github.com/jslicense/spdx-license-ids"
"spdx-ranges@2.1.1","(MIT AND CC-BY-3.0)","https://github.com/kemitchell/spdx-ranges.js"
"spdx-satisfies@4.0.1","MIT","https://github.com/kemitchell/spdx-satisfies.js"
"strip-json-comments@3.1.1","MIT","https://github.com/sindresorhus/strip-json-comments"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color"
"supports-color@7.2.0","MIT","https://github.com/chalk/supports-color"
"supports-preserve-symlinks-flag@1.0.0","MIT","https://github.com/inspect-js/node-supports-preserve-symlinks-flag"
"tailwindcss@4.1.14","MIT","https://github.com/tailwindlabs/tailwindcss"
"tiny-case@1.0.3","MIT","https://github.com/jquense/tiny-case"
"tiny-warning@1.0.3","MIT","https://github.com/alexreardon/tiny-warning"
"tinyglobby@0.2.15","MIT","https://github.com/SuperchupuDev/tinyglobby"
"to-regex-range@5.0.1","MIT","https://github.com/micromatch/to-regex-range"
"toposort@2.0.2","MIT","https://github.com/marcelklehr/toposort"
"treeify@1.1.0","MIT","https://github.com/notatestuser/treeify"
"ts-api-utils@2.1.0","MIT","https://github.com/JoshuaKGoldberg/ts-api-utils"
"tslib@2.8.1","0BSD","https://github.com/Microsoft/tslib"
"type-check@0.4.0","MIT","https://github.com/gkz/type-check"
"type-fest@2.19.0","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest"
"typescript-eslint@8.45.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"typescript@5.8.3","Apache-2.0","https://github.com/microsoft/TypeScript"
"update-browserslist-db@1.1.3","MIT","https://github.com/browserslist/update-db"
"uri-js@4.4.1","BSD-2-Clause","https://github.com/garycourt/uri-js"
"util-extend@1.0.3","MIT","https://github.com/isaacs/util-extend"
"validate-npm-package-license@3.0.4","Apache-2.0","https://github.com/kemitchell/validate-npm-package-license.js"
"vite@7.1.7","MIT","https://github.com/vitejs/vite"
"which@2.0.2","ISC","https://github.com/isaacs/node-which"
"word-wrap@1.2.5","MIT","https://github.com/jonschlinkert/word-wrap"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
"yallist@3.1.1","ISC","https://github.com/isaacs/yallist"
"yocto-queue@0.1.0","MIT","https://github.com/sindresorhus/yocto-queue"
"yup@1.7.1","MIT","https://github.com/jquense/yup"
"zustand@5.0.8","MIT","https://github.com/pmndrs/zustand"
